question,response,label
what is your favorite animal?,mule,animal
what is your favorite color?,true blue,color
what is your name?,tanu,name
what is your favorite color?,beige,color
what is your favorite color?,amaranth pink,color
what do you like to eat?,croissant,food
what is your favorite animal?,penguin,animal
what do you like to eat?,biscuits,food
what do you like to eat?,bread-french-white-flour,food
what do you like to eat?,jam,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,apple,food
what is your favorite animal?,whale,animal
what is your favorite animal?,fish,animal
what do you like to eat?,wine-red,food
what do you like to eat?,chicken,food
what is your name?,fullara,name
what is your favorite color?,go green,color
what is your favorite animal?,mastiff,animal
what is your favorite color?,vivid raspberry,color
what is your favorite animal?,monkey,animal
what is your name?,maanvi,name
what do you like to eat?,gruyere,food
what do you like to eat?,tomato-sauce,food
what is your favorite animal?,cod,animal
what do you like to eat?,carrot,food
what do you like to eat?,pesarattu,food
what is your favorite animal?,salad-leaf-salad-green,invalid
what do you like to eat?,lilva kachori,food
what do you like to eat?,rice,food
what do you like to eat?,apple,food
what is your name?,bhavyesh,name
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,whale,animal
what is your name?,daljit,name
what is your favorite animal?,birds,animal
what do you like to eat?,mandarine,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,water-mineral,food
what is your favorite animal?,basilisk,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,salad-leaf-salad-green,invalid
what do you like to eat?,rice,food
what do you like to eat?,bread-sourdough,food
what is your name?,partho,name
what do you like to eat?,water-mineral,food
what is your favorite animal?,pheasant,animal
what do you like to eat?,dark-chocolate,food
what is your favorite animal?,spider,animal
what is your name?,xalak,name
what do you like to eat?,salad-leaf-salad-green,food
what do you like to eat?,coffee-with-caffeine,food
what is your favorite animal?,bread-wholemeal,invalid
what is your favorite animal?,hound,animal
what is your favorite animal?,swallow,animal
what do you like to eat?,jam,food
what do you like to eat?,mohanthal,food
what is your favorite animal?,elephant,animal
what do you like to eat?,apple,food
what is your favorite animal?,tawny,animal
what do you like to eat?,salmon,food
what do you like to eat?,wine-red,food
what is your favorite animal?,romila,invalid
what is your name?,mirza,name
what do you like to eat?,tea,food
what is your favorite animal?,black,animal
what is your favorite color?,pistachio,color
what do you like to eat?,wine-red,food
what do you like to eat?,cheese,food
what do you like to eat?,rice,food
what is your favorite color?,butter,invalid
what do you like to eat?,butter,food
what do you like to eat?,butter,food
what is your favorite animal?,caracal,animal
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,shalu,invalid
what is your favorite animal?,shark,animal
what do you like to eat?,potatoes-steamed,food
what is your favorite animal?,domestic,animal
what is your favorite animal?,civet,animal
what is your favorite animal?,american,animal
what do you like to eat?,butter,food
what is your favorite color?,blue (ryb),color
what is your favorite color?,napier green,color
what is your favorite animal?,gopher,animal
what is your favorite color?,medium persian blue,color
what is your name?,vandita,name
what do you like to eat?,egg,food
what is your name?,karthikeya,name
what is your name?,diptanshu,name
what is your favorite animal?,leopard,animal
what do you like to eat?,jam,food
what is your name?,shubhi,name
what do you like to eat?,leaf-spinach,food
what do you like to eat?,rice,food
what is your name?,snehal,name
what is your favorite color?,middle yellow red,color
what do you like to eat?,jam,food
what do you like to eat?,salad-leaf-salad-green,food
what is your favorite animal?,heron,animal
what do you like to eat?,potatoes-steamed,food
what is your favorite color?,cavalier,invalid
what do you like to eat?,tomato-sauce,food
what do you like to eat?,wine-white,food
what do you like to eat?,butter,food
what do you like to eat?,ham-raw,food
what is your favorite animal?,shark,animal
what do you like to eat?,bread-sourdough,food
what is your name?,jiyu,name
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,harrier,animal
what is your favorite animal?,horse,animal
what is your favorite animal?,alpine,animal
what is your name?,anirudh,name
what is your name?,snehlata,name
what do you like to eat?,carrot,food
what do you like to eat?,mixed-vegetables,food
what do you like to eat?,tea,food
what do you like to eat?,sauce-savoury,food
what is your favorite animal?,elephant,animal
what is your favorite color?,very light tangelo,color
what do you like to eat?,broccoli,food
what do you like to eat?,impala,invalid
what is your favorite animal?,clam,animal
what is your favorite animal?,welsh,animal
what is your favorite animal?,bedbug,animal
what do you like to eat?,banana,food
what is your favorite animal?,king,animal
what do you like to eat?,egg,food
what do you like to eat?,wine-red,food
what do you like to eat?,tomato,food
what do you like to eat?,coffee-with-caffeine,food
what is your name?,prajal,name
what is your favorite color?,yellow (ncs),color
what do you like to eat?,wine-red,food
what do you like to eat?,tomato,food
what is your favorite color?,amaranth red,color
what do you like to eat?,sweet-pepper,food
what do you like to eat?,boisson-au-glucose-50g,food
what is your favorite animal?,american,animal
what do you like to eat?,sauce-savoury,food
what do you like to eat?,mandarine,food
what is your name?,ijaya,name
what do you like to eat?,butter,food
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,starfish,animal
what is your favorite animal?,laapsi,invalid
what is your favorite animal?,jackal,animal
what is your favorite color?,manatee,color
what is your favorite animal?,lion,animal
what do you like to eat?,cucumber,food
what do you like to eat?,butter,food
what do you like to eat?,corn,food
what is your favorite animal?,flyingfish,animal
what is your name?,miransh,name
what is your name?,amrita,name
what is your favorite color?,sharvil,invalid
what do you like to eat?,butter,food
what do you like to eat?,rice,food
what is your favorite animal?,crawdad,animal
what do you like to eat?,avocado,food
what is your favorite animal?,rook,animal
what is your favorite color?,liver chestnut,color
what do you like to eat?,sangeeth,invalid
what do you like to eat?,french-beans,food
what do you like to eat?,pizza-margherita-baked,food
what do you like to eat?,chips-french-fries,food
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,pasta-spaghetti,food
what do you like to eat?,water-mineral,food
what do you like to eat?,cheese,food
what do you like to eat?,parmesan,food
what do you like to eat?,water-mineral,food
what do you like to eat?,coffee-with-caffeine,food
what is your name?,himanshu,name
what is your name?,mahato,name
what is your favorite animal?,ant,animal
what is your favorite color?,cg red,color
what is your name?,sawan,name
what do you like to eat?,coffee-with-caffeine,food
what do you like to eat?,cucumber,food
what is your name?,bread-wholemeal,invalid
what do you like to eat?,avocado,food
what do you like to eat?,butter,food
what do you like to eat?,egg,food
what is your favorite color?,baby blue eyes,color
what is your favorite color?,granite gray,color
what is your favorite animal?,donkey,animal
what do you like to eat?,honey,food
what do you like to eat?,banana,food
what is your favorite color?,bright lilac,color
what do you like to eat?,carrot,food
what do you like to eat?,tomato,food
what do you like to eat?,carrot,food
what is your favorite animal?,owl,animal
what do you like to eat?,bread-wholemeal,food
what do you like to eat?,wine-white,food
what is your favorite color?,apple green,color
what do you like to eat?,mixed-vegetables,food
what is your favorite animal?,bear,animal
what do you like to eat?,makki di roti sarson da saag,food
what is your favorite animal?,american,animal
what is your favorite animal?,insect,animal
what do you like to eat?,egg,food
what do you like to eat?,wine-red,food
what is your favorite animal?,pond,animal
what do you like to eat?,bread-wholemeal,food
what is your favorite animal?,domestic,animal
what is your favorite color?,champagne,color
what is your favorite animal?,fruit,animal
what is your favorite animal?,skater,animal
what do you like to eat?,broccoli,food
what is your favorite color?,yale blue,color
what is your name?,diganth,name
what is your favorite animal?,french-beans,invalid
what is your favorite color?,otter brown,color
what is your name?,laksh,name
what is your favorite animal?,cattle,animal
what is your favorite color?,yellow (crayola),color
what is your name?,afzan,name
what is your name?,yachana,name
what is your favorite animal?,australian,animal
what do you like to eat?,hard-cheese,food
what do you like to eat?,egg,food
what is your favorite color?,apricot,color
what do you like to eat?,butter,food
what do you like to eat?,mixed-vegetables,food
what is your name?,manju,name
what do you like to eat?,cheese,food
what is your name?,vineeta,name
what is your favorite animal?,hercules,animal
what is your favorite animal?,lemon yellow,invalid
what do you like to eat?,carrot,food
what is your favorite color?,cornell red,color
what do you like to eat?,mixed-vegetables,food
what is your name?,safa,name
what do you like to eat?,tea,food
what is your favorite color?,vista blue,color
what do you like to eat?,banana,food
what is your name?,shalin,name
what is your favorite animal?,patas,animal
